user_id,contact_name,total_amount,gender,state,email,age,status,average_time,amount_items_bought
72,Zoe,516,female,IN,Zoe@gmail.com,60,married,97,3
73,Myria,696,female,DE,Myria@gmail.com,35,single,97,4
74,Jaime,265,female,TX,Jaime@gmail.com,53,single,116,4
75,Karen,538,female,MD,Karen@gmail.com,69,married,59,3
76,Tony,941,male,CA,Tony@gmail.com,21,single,74,3
77,Francisco,132,male,OH,Francisco@gmail.com,31,single,41,5
78,Kim,390,male,AK,Kim@gmail.com,59,married,102,2
79,Andreas,259,male,NM,Andreas@gmail.com,56,married,37,5
80,Jenny,878,female,NC,Jenny@gmail.com,61,single,80,5
81,Austin,495,male,OR,Austin@gmail.com,32,married,98,3
82,Rileigh,466,female,TX,Rileigh@gmail.com,61,married,75,2
83,Hannah,609,female,MS,Hannah@gmail.com,63,single,12,5
84,Alberto,92,male,OR,Alberto@gmail.com,69,married,115,5
85,Markus,685,male,VA,Markus@gmail.com,51,single,22,1
86,Kory,181,male,OK,Kory@gmail.com,45,single,62,3
87,Corban,741,male,TN,Corban@gmail.com,54,married,36,4
88,Bill,299,male,ME,Bill@gmail.com,59,married,38,3
89,Mark,209,male,NE,Mark@gmail.com,29,married,40,5
90,Zane,423,male,NJ,Zane@gmail.com,57,single,117,5
91,Zack,378,male,CA,Zack@gmail.com,60,single,51,4
92,Brittany,67,female,AZ,Brittany@gmail.com,54,married,71,2
93,Angel,275,female,PA,Angel@gmail.com,57,single,84,1
94,Sarah,439,female,VA,Sarah@gmail.com,51,single,105,3
95,Emily,545,female,SC,Emily@gmail.com,62,single,67,3
96,Vince,176,male,NE,Vince@gmail.com,57,married,14,4
97,Jorge,285,male,NJ,Jorge@gmail.com,41,married,99,2
98,Brandon,60,male,CO,Brandon@gmail.com,69,single,32,4
99,Lexi,277,female,NE,Lexi@gmail.com,34,single,22,4
100,Gretchen,487,female,RI,Gretchen@gmail.com,70,married,38,2
101,Tyrone,325,male,CA,Tyrone@gmail.com,66,single,16,5
